"Zona portuaria","Sociedad Portuaria","Tipo de embalaje","Exportación","Importación","Transbordo","Tránsito Internacional","Fluvial","Cabotaje","vigencia_anno","vigencia_mes"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS vacios","3.282","2.180","34",,,"8","2.018","7"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS vacios","408","65","98","1.136",,,"2.018","7"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS llenos","2.408","985",,,,"60","2.018","7"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS vacios","8.095","1","2.548",,,,"2.018","7"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"383","2.018","7"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,,,,,"150","2.018","7"
"TURBO","PROMOTORA BANANERA S.A","TEUS llenos","530",,,,,"32","2.018","7"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS vacios","4.422","4","30.944",,,,"2.018","7"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","2.949","756",,,,,"2.018","7"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS llenos","4.499","9.697","25.223",,,,"2.018","7"
"CARTAGENA","TERMINAL DE CONTENEDORES DE CARTAGENA S. A.","TEUS llenos","12.008","15.146","103.737",,,,"2.018","7"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","2.259","2.517","606","1.669",,,"2.018","7"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","2.128","8.554",,,,"18","2.018","7"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios","2",,"49",,,"63","2.018","7"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","7","219",,,,"600","2.018","7"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","TEUS llenos","318","3.637",,,,,"2.018","7"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS vacios",,"95",,,,,"2.018","7"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos",,"100",,,,,"2.018","7"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"10",,,,,"2.018","7"
"BUENAVENTURA","SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.","TEUS llenos","2.312","10.329","5.109",,,"120","2.018","7"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","3.900","192","10.457",,,,"2.018","7"
"BUENAVENTURA","SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A","TEUS llenos","12.133","24.673","31.403",,,,"2.018","7"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"8",,,,,"2.018","7"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","137",,,,,"272","2.018","7"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS vacios","3.111",,,,,,"2.018","7"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS llenos","4.239","6.231",,"20",,,"2.018","7"
"CARTAGENA","PUERTO DE MAMONAL S.A.","TEUS llenos",,"10",,,,,"2.018","8"
"GUAJIRA","CERREJON ZONA NORTE S.A.","TEUS llenos",,"67",,,,,"2.018","8"
"CARTAGENA","SOCIEDAD PORTUARIA TRANSMARSYP S.A.","TEUS llenos",,,,,,"499","2.018","8"
"BUENAVENTURA","SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.","TEUS llenos","2.377","13.467",,,,,"2.018","8"
"TURBO","C.I. UNIÓN DE BANANEROS DE URABA S.A. - UNIBAN","TEUS llenos","4.460","1.266",,,,"214","2.018","8"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS llenos","4","240",,,,"529","2.018","8"
"SAN ANDRES","SAN ANDRES PORT SOCIETY SA","TEUS vacios","269","1",,,,"574","2.018","8"
"CARTAGENA","COMPAÑIA DE PUERTOS ASOCIADOS S.A.","TEUS llenos","1.984","2.520","1.075","1.580",,,"2.018","8"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS llenos",,"14","12",,,"82","2.018","8"
"BARRANQUILLA","PALERMO SOCIEDAD PORTUARIA S.A","TEUS llenos",,"48",,,,,"2.018","8"
"CARTAGENA","SOCIEDAD PORTUARIA PUERTO BAHIA SA","TEUS vacios",,,"46",,,"53","2.018","8"
"CARTAGENA","SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA","TEUS vacios","3.934","86","9.339",,,,"2.018","8"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","TEUS vacios","2.691","908",,,,,"2.018","8"
